47,"What is the output of this program?

    class A 
    {
        public int i;
        protected int j;
    }    
    class B extends A 
    {
        int j;
        void display() 
        {
            super.j = 3;
            System.out.println(i + "" "" + j);
        }
    }    
    class Output 
    {
        public static void main(String args[])
        {
            B obj = new B();
            obj.i=1;
            obj.j=2;   
            obj.display();     
        }
   }",1 2,2 1,1 3,3 1,
48, Which of the following keywords is used for throwing exception manually?,finally,try,throw, catch,throw
49,Which of the following classes can catch all exceptions which cannot be caught?,RuntimeException,Error,Exception,ParentException,Exception
50,Which of the following operators is used to generate instance of an exception which can be thrown using throw?,thrown, alloc,malloc,new, new
51,Which of the following handles the exception when catch is not used?, finally,throw handler,default handler, java run time system, default handler
52,Which part of code gets executed whether exception is caught or not?,finally,try,catch,throw,finally
53,What exception thrown by parseInt() method?,ArithmeticException,ClassNotFoundException, NullPointerException,NumberFormatException,NumberFormatException
54,Which of the following should be true of the object thrown by a thrown statement?,Should be assignable to String type,Should be assignable to Exception type,Should be assignable to Throwable type,Should be assignable to Error type,Should be assignable to Throwable type
55,"What is the output of this program?

    class exception_handling 
    {
        public static void main(String args[]) 
        {
            try 
            {
                int a = args.length;
                int b = 10 / a;
                System.out.print(a);
                try 
                {
                    if (a == 1)
                        a = a / a - a;
                    if (a == 2) 
                    {
                        int []c = {1};
                        c[8] = 9;
                    }
                }
                catch (ArrayIndexOutOfBoundException e) 
                {
                    System.out.println(""TypeA"");
                }
                catch (ArithmeticException e) 
                {
                    System.out.println(""TypeB"");
                }
            }
        }
    }",TypeA,TypeB,Compiler Time Error, 0TypeB,Compiler Time Error
56,"What is the output of this program?

    class exception_handling 
    {
        public static void main(String args[]) 
        {
            try 
            {
                System.out.print(""A"");
                throw new NullPointerException (""Hello"");
            }
            catch(ArithmeticException e) 
            {
                System.out.print(""B"");                
            }
        }
    }",A,B,Hello,Runtime Exception,
57,"What is the output of this program?

    class exception_handling 
    {
        static void throwexception() throws ArithmeticException 
        {        
            System.out.print(""0"");
            throw new ArithmeticException (""Exception"");
        }
        public static void main(String args[]) 
        {
            try 
            {
                throwexception();
            }
            catch (ArithmeticException e) 
            {
                System.out.println(""A"");
            }
        }
    }",A,O,OA,Exception,
58,"What is the output of this program?

public class San 
{
    public static void main(String args[])
    {
        try 
        {
            System.out.print(""Hello world "");
        }
        finally 
        {
            System.out.println(""Finally executing "");
        }
    }
}",The program will not compile because no exceptions are specified,The program will not compile because no catch clauses are specified, Hello world,Hello world Finally executing,Hello world Finally executing
59,Which of these classes implements Set interface?,ArrayList,HashSet,LinkedList,DynamicList,HashSet
60,Which of these method is used to add an element to the start of a LinkedList object?,add(),first(),AddFirst(),addFirst(),addFirst()
61,Which of these method of HashSet class is used to add elements to its object?,add(), Add(),addFirst(),insert(),add()
62,Which of these methods can be used to delete the last element in a LinkedList object?, remove(),delete(),removeLast(),deleteLast(),removeLast()
63,Which of these method is used to change an element in a LinkedList Object?,change(), set(),redo(),add(),set()
64,"What is the output of this program?

    import java.util.*;
    class Linkedlist 
    {
        public static void main(String args[]) 
        {
            LinkedList obj = new LinkedList();
            obj.add(""A"");
            obj.add(""B"");
            obj.add(""C"");
            obj.addFirst(""D"");
            System.out.println(obj);
        }
    }","[A, B, C].","[D, B, C].","[A, B, C, D].","[D, A, B, C].","[D, A, B, C]."
65," What is the output of this program?

    import java.util.*;
    class Linkedlist 
    {
        public static void main(String args[]) 
        {
            LinkedList obj = new LinkedList();
            obj.add(""A"");
            obj.add(""B"");
            obj.add(""C"");
            obj.removeFirst();
            System.out.println(obj);
        }
    }","[A, B].","[B, C].","[A, B, C, D].","[A, B, C].","[B, C]."
66,"What is the output of this program?

    import java.util.*; 
    class Output 
    {
        public static void main(String args[]) 
        { 
            TreeSet t = new TreeSet();
            t.add(""3"");
            t.add(""9"");
            t.add(""1"");
            t.add(""4"");
            t.add(""8""); 
            System.out.println(t);
        }
    }","[1, 3, 5, 8, 9].","[3, 4, 1, 8, 9]."," [9, 8, 4, 3, 1].","[1, 3, 4, 8, 9].","[1, 3, 4, 8, 9]."
67,Which of these interface declares core method that all collections will have?, set,EventListner,Comparator,Collection,Collection
68,Which of these interface handle sequences?,Set,List,Comparator,Collection,List
69,Which of these interface is not a part of Java’s collection framework?,List,Set,SortedMap, SortedList,SortedList
70,Which of these interface must contain a unique element?,Set,List,Array,Collection,Set
71,"What is the output of this program?

    import java.util.*;
    class Maps 
    {
        public static void main(String args[]) 
        {
            TreeMap obj = new TreeMap();
            obj.put(""A"", new Integer(1));
            obj.put(""B"", new Integer(2));
            obj.put(""C"", new Integer(3));
            System.out.println(obj.entrySet());
        }
    }","[A, B, C].","[1, 2, 3]."," {A=1, B=2, C=3}","[A=1, B=2, C=3].","[A=1, B=2, C=3]."
72,"What is the output of this program?

    import java.util.*;
    class vector 
    {
        public static void main(String args[]) 
        {
            Vector obj = new Vector(4,2);
            obj.addElement(new Integer(3));
            obj.addElement(new Integer(2));
            obj.addElement(new Integer(5));
            obj.removeAll(obj);
            System.out.println(obj.isEmpty());
        }
    }",0,1,TRUE,FALSE,TRUE
73,"What is the output of this program?

    import java.util.*;
    class Bitset 
    {
        public static void main(String args[]) 
        {
            BitSet obj = new BitSet(5);
            for (int i = 0; i < 5; ++i)
                obj.set(i);
            obj.clear(2);
            System.out.print(obj);
        }
    }"," {0, 1, 3, 4}","{0, 1, 2, 4}"," {0, 1, 2, 3, 4}","{0, 0, 0, 3, 4}","{0, 1, 3, 4}"
74,Which of the following would compile without error?,int a = Math.abs(-5);,int b = Math.abs(5.0);,int c = Math.abs(5.5F);,int d = Math.abs(5L);,int a = Math.abs(-5);
75,"Select how you would start the program to cause it to print: Arg is 2

public class Myfile 
{ 
    public static void main (String[] args) 
    {
        String biz = args[1]; 
        String baz = args[2]; 
        String rip = args[3]; 
        System.out.println(""Arg is "" + rip); 
    } 
}",java Myfile 222,java Myfile 1 2 2 3 4,java Myfile 1 3 2 2,java Myfile 0 1 2 3,java Myfile 0 1 2 3
76,What is the name of the method used to start a thread execution?,init();,start();,run();,resume();,start();
77,Which cannot directly cause a thread to stop executing?,Calling the SetPriority() method on a Thread object.,Calling the wait() method on an object.,Calling notify() method on an object.,Calling read() method on an InputStream object.,Calling notify() method on an object.
78,Which of the following will directly stop the execution of a Thread?,wait(),notify(),notifyall(),exits synchronized code,wait()
79,Which method must be defined by a class implementing the java.lang.Runnable interface?,void run(),public void run(),public void start(),void run(int priority),public void run()
80,Which will contain the body of the thread?,run();,start();,stop();,main();,run();
81," Which method registers a thread in a thread scheduler?
",run();,construct();,start();,register();,start();
82,"Assume the following method is properly synchronized and called from a thread A on an object B:

wait(2000);

After calling this method, when will the thread A become a candidate to get another turn at the CPU?","After thread A is notified, or after two seconds.","After the lock on B is released, or after two seconds.",Two seconds after thread A is notified.,Two seconds after lock B is released.,"After thread A is notified, or after two seconds."
83,Which of the following will not directly cause a thread to stop?,notify();,wait();,InputStream access,sleep(),notify();
84,"Which class or interface defines the wait(), notify(),and notifyAll() methods?",object,thread,runnable,class,object
85,Which is true about an anonymous inner class?,It can extend exactly one class and implement exactly one interface.,It can extend exactly one class and can implement multiple interfaces.,It can extend exactly one class or implement exactly one interface.,It can implement multiple interfaces regardless of whether it also extends a class.,It can extend exactly one class and can implement multiple interfaces.
86," 
Which is true about a method-local inner class?",It must be marked final.,It must be marked final.,It can be marked public.,It can be marked static.,It must be marked final.
87,Which statement is true about a static nested class?,You must have a reference to an instance of the enclosing class in order to instantia,It does not have access to nonstatic members of the enclosing class.,It's variables and methods must be static.,It must extend the enclosing class.,It does not have access to nonstatic members of the enclosing class
88,Which constructs an anonymous inner class instance?,Runnable r = new Runnable() { };,Runnable r = new Runnable(public void run() { });,Runnable r = new Runnable { public void run(){}};,System.out.println(new Runnable() {public void run() { }});,System.out.println(new Runnable() {public void run() { }});
89,"What will be the output of the program (when you run with the -ea option) ?

public class Test 
{  
    public static void main(String[] args) 
    {
        int x = 0;  
        assert (x > 0) : ""assertion failed""; /* Line 6 */
        System.out.println(""finished""); 
    } 
}",finished,Compilation fails.,An AssertionError is thrown.,An AssertionError is thrown and finished is output.,15 15
90,"public class Test2 
{
    public static int x;
    public static int foo(int y) 
    {
        return y * 2;
    }
    public static void main(String [] args) 
    {
        int z = 5;
        assert z > 0; /* Line 11 */
        assert z > 2: foo(z); /* Line 12 */
        if ( z < 7 )
            assert z > 4; /* Line 14 */

        switch (z) 
        {
            case 4: System.out.println(""4 "");
            case 5: System.out.println(""5 "");
            default: assert z < 10;
        }

        if ( z < 10 )
            assert z > 4: z++; /* Line 22 */
        System.out.println(z);
    }
}
which line is an example of an inappropriate use of assertions?",line 11,line 12,line 14,line 22,
91," 
What will be the output of the program?

class PassA 
{
    public static void main(String [] args) 
    {
        PassA p = new PassA();
        p.start();
    }

    void start() 
    {
        long [] a1 = {3,4,5};
        long [] a2 = fix(a1);
        System.out.print(a1[0] + a1[1] + a1[2] + "" "");
        System.out.println(a2[0] + a2[1] + a2[2]);
    }

    long [] fix(long [] a3) 
    {
        a3[1] = 7;
        return a3;
    }
}",12 15,15 15,3 4 5 3 7 5,3 7 5 3 7 5,
92," 
What will be the output of the program?

class Test 
{
    public static void main(String [] args) 
    {
        Test p = new Test();
        p.start();
    }

    void start() 
    {
        boolean b1 = false;
        boolean b2 = fix(b1);
        System.out.println(b1 + "" "" + b2);
    }

    boolean fix(boolean b1) 
    {
        b1 = true;
        return b1;
    }
}",true true,false false,true false,false true,false true
93,"public void foo( boolean a, boolean b)
{ 
    if( a ) 
    {
        System.out.println(""A""); /* Line 5 */
    } 
    else if(a && b) /* Line 7 */
    { 
        System.out.println( ""A && B""); 
    } 
    else /* Line 11 */
    { 
        if ( !b ) 
        {
            System.out.println( ""notB"") ;
        } 
        else 
        {
            System.out.println( ""ELSE"" ) ; 
        } 
    } 
}","If a is true and b is true then the output is ""A && B""","If a is true and b is false then the output is ""notB""","If a is false and b is true then the output is ""ELSE""","If a is false and b is false then the output is ""ELSE""","If a is false and b is true then the output is ""ELSE"""
94,"public void test(int x) 
{ 
    int odd = 1; 
    if(odd) /* Line 4 */
    {
        System.out.println(""odd""); 
    } 
    else 
    {
        System.out.println(""even""); 
    } 
}
Which statement is true?",Compilation fails.,"""odd"" will always be output.","""even"" will always be output.","""odd"" will be output for odd values of x, and ""even"" for even values.",Compilation fails.
95,"public class While 
{
    public void loop() 
    {
        int x= 0;
        while ( 1 ) /* Line 6 */
        {
            System.out.print(""x plus one is "" + (x + 1)); /* Line 8 */
        }
    }
}
Which statement is true?","There is a syntax error on line 1.
",There are syntax errors on lines 1 and 6.,"There are syntax errors on lines 1, 6, and 8.",There is a syntax error on line 6.,There is a syntax error on line 6.
96," 
Suppose that you would like to create an instance of a new Map that has an iteration order that is the same as the iteration order of an existing instance of a Map. Which concrete implementation of the Map interface should be used for the new instance?",TreeMap,HashMap,LinkedHashMap,The answer depends on the implementation of the existing instance.,LinkedHashMap
97,"Which class does not override the equals() and hashCode() methods, inheriting them directly from class Object?",java.lang.String,java.lang.Double,java.lang.StringBuffer,java.lang.Character,java.lang.StringBuffer
98," 
Which collection class allows you to grow or shrink its size and provides indexed access to its elements, but whose methods are not synchronized?",java.util.HashSet,java.util.LinkedHashSet,java.util.List,java.util.ArrayList,java.util.ArrayList
99,You need to store elements in a collection that guarantees that no duplicates are stored and all elements can be accessed in natural order. Which interface provides that capability?,java.util.Map,java.util.Set,java.util.List,java.util.Collection,java.util.Set
100,Which interface does java.util.Hashtable implement?,Java.util.Map,Java.util.List,Java.util.HashTable,Java.util.Collection,Java.util.Map
